6628600,1,18,0,0,169,1247473692,1247473876,94,0,0,17,17,17,17,-1,-1,11,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,6,1,1,0,0,2,0,0,0,0,0,0,0,0,0,00001133641247473692,38015,002A12025,38015,"",70635,"",38015,977865406,"","","","","","","",""
6628600,15,0,18,6,75,1247473786,1247473876,69,0,0,152,51,152,51,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,00001133951247473786,38202,"",38202,70635,77048,"",38202,70635,"","","","","","","",""
6628601,0,0,42,0,42,1247473839,1247473881,0,0,0,0,17,0,-1,-1,-1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134141247473839,"",002B11001,"",70630,"","",933039813,22308,"","","","","","","",""
6628602,1,0,0,0,44,1247473859,1247473904,44,0,0,20,20,20,20,-1,-1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,00001134171247473859,38020,002B12003,38020,"",39233,"",38020,877021062,"","","","","","","",""
6628603,1,0,0,0,32,1247473891,1247473924,32,0,0,20,20,20,20,-1,-1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,00001134271247473891,38020,003A11019,38020,"",39338,"",38020,937416770,"","","","","","","",""
6628604,0,0,126,0,126,1247473809,1247473935,0,0,0,0,72,0,-1,-1,-1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134001247473809,"",004B12004,"",75042,"","",938425079,22402,"","","","","","","",""
6628605,0,0,25,25,25,1247473929,1247473954,0,0,0,60,60,60,60,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,00001134371247473929,38060,"",38060,39273,39212,"",38060,39273,"","","","","","","",""
6628606,0,0,4,2,4,1247473952,1247473956,0,0,0,60,20,60,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134461247473952,38060,"",38060,39418,"","",38060,39418,"","","","","","","",""
6628607,0,0,58,0,58,1247473901,1247473959,0,0,0,0,272,0,-1,-1,-1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134321247473901,"",002B11002,"",72015,"","",618735346,22730,"","","","","","","",""
6628608,0,0,96,0,252,1247473703,1247473965,0,0,119,0,284,0,-1,-1,-1,21,1,1,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001133671247473703,"",004B12001,"",72080,"","",667169803,22720,"","","","","","","",""
6628608,10,0,23,6,60,1247473895,1247473965,54,0,0,48,48,48,48,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,00001134291247473895,38048,"",38048,72080,74005,"",38048,72080,"","","","","","","",""
6628609,0,0,0,6,30,1247473941,1247473971,0,0,0,500,-1,500,-1,-1,-1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134401247473941,"",001B18001,"","","","","",932562457,"","","","","","","",""
6628610,6,28,0,0,145,1247473827,1247473978,117,0,0,20,20,20,20,-1,-1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,00001134071247473827,38020,003A11018,38020,"",39273,"",38020,003A11018,"","","","","","","",""
6628611,7,0,0,0,51,1247473936,1247473994,51,0,0,20,20,20,20,-1,-1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,00001134391247473936,38020,002B12003,38020,"",39342,"",38020,652823729,"","","","","","","",""
6628612,1,18,0,0,154,1247473828,1247473997,93,0,0,17,17,17,17,-1,-1,11,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,6,1,1,0,0,2,0,0,0,0,0,0,0,0,0,00001134081247473828,38015,001B17015,38015,"",70298,"",38015,933039813,"","","","","","","",""
6628612,15,0,18,9,61,1247473921,1247473997,52,0,0,152,51,152,51,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,00001134361247473921,38202,"",38202,70298,77040,"",38202,70298,"","","","","","","",""
6628613,5,0,0,0,51,1247473948,1247474004,51,0,0,20,20,20,20,-1,-1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,00001134411247473948,38020,003A11020,38020,"",39233,"",38020,972674814,"","","","","","","",""
6628614,9,11,0,0,153,1247473782,1247474009,70,0,0,20,20,20,20,-1,-1,37,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,00001133921247473782,38020,003A11015,38020,"",39342,"",38020,003A11015,"","","","","","","",""
6628614,74,0,11,5,83,1247473852,1247474009,78,0,0,60,60,60,60,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,00001134161247473852,38060,"",38060,39342,39363,"",38060,39342,"","","","","","","",""
6628615,19,35,0,0,109,1247473882,1247474010,74,0,0,20,20,20,20,-1,-1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,00001134251247473882,38020,002B12004,38020,"",39418,"",38020,938460986,"","","","","","","",""
6628616,1,0,0,0,39,1247473974,1247474014,39,0,0,20,20,20,20,-1,-1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,00001134501247473974,38020,002B12006,38020,"",39338,"",38020,938094185,"","","","","","","",""
6628617,0,0,31,0,31,1247473990,1247474021,0,0,0,0,266,0,-1,-1,-1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134531247473990,"",002B11003,"",72115,"","",607184459,22714,"","","","","","","",""
6628618,0,0,15,0,15,1247474016,1247474031,0,0,0,0,101,0,-1,-1,-1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134591247474016,"",002B11001,"",73100,"","",092,22801,"","","","","","","",""
6628619,6,0,0,0,43,1247473984,1247474033,43,0,0,20,20,20,20,-1,-1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,00001134511247473984,38020,003A11021,38020,"",39273,"",38020,606706601,"","","","","","","",""
6628620,0,0,8,0,8,1247474026,1247474034,0,0,0,0,266,0,-1,-1,-1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134631247474026,"",002B11002,"",72115,"","",607184412,22714,"","","","","","","",""
6628621,0,0,56,0,199,1247473830,1247474044,0,0,21,0,8,0,-1,-1,-1,21,1,1,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134091247473830,"",004B12007,"",71104,"","",972266974,22213,"","","","","","","",""
6628621,15,0,21,10,143,1247473886,1247474044,133,0,0,155,50,155,50,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,00001134261247473886,38205,"",38205,71104,77034,"",38205,71104,"","","","","","","",""
6628622,0,0,6,2,6,1247474054,1247474060,0,0,0,60,20,60,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,00001134681247474054,38060,"",38060,39342,"","",38060,39342,"","","","","","","",""
6628623,10,0,0,0,27,1247474023,1247474060,27,0,0,7,7,7,7,-1,-1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,00001134621247474023,38007,002A12026,38007,"",71059,"",38007,933126308,"","","","","","","",""
6628624,10,0,0,0,131,1247473920,1247474061,131,0,0,7,7,7,7,-1,-1,21,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,00001134351247473920,38001,002B11017,38001,"",70356,"",38001,936351800,"","","","","","","",""
6628625,6,0,0,0,40,1247474015,1247474061,40,0,0,20,20,20,20,-1,-1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,00001134571247474015,38020,003A11023,38020,"",39418,"",38020,938458700,"","","","","","","",""
